month_start,product,hs_code,category,state,port,country,qty_tonnes,value_inr_lakh,unit_value_inr_kg
01-04-2026,Natural Honey,4090000,Natural Honey,Gujarat,MUNDRA SEA,Oman,18.432,24.73,134.1688368
01-04-2026,Natural Honey,4090000,Natural Honey,Delhi,DELHI (ICD),United States,0.02,0.07,350
01-04-2026,Natural Honey,4090000,Natural Honey,Gujarat,MUNDRA SEA,United Arab Emirates,48.24,49.97,103.5862355
01-04-2026,Natural Honey,4090000,Natural Honey,West Bengal,NEPALGANJ  ROAD/ RAILWAY,Nepal,9.996,13.49,134.9539816
01-04-2026,Natural Honey,4090000,Natural Honey,Maharashtra,NHAVA SHEVA SEA,Australia,0.095,0.39,410.5263158
01-04-2026,Natural Honey,4090000,Natural Honey,Maharashtra,NHAVA SHEVA SEA,Cambodia,0.01,0.05,500
01-04-2026,Natural Honey,4090000,Natural Honey,Delhi,DELHI AIRPORT,Singapore,0.002,0.7,35000
01-04-2026,Natural Honey,4090000,Natural Honey,Gujarat,AHMEDABAD AIR CARGO COMPLEX,United States,0.283,1.63,575.9717314
01-04-2026,Natural Honey,4090000,Natural Honey,Maharashtra,NHAVA SHEVA SEA,Hong Kong (HK),0.315,1.57,498.4126984
01-04-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SONIPAT ICD,Saudi Arabia,17.994,32.54,180.8380571
01-04-2026,Natural Honey,4090000,Natural Honey,Maharashtra,NHAVA SHEVA SEA,Kenya,0.07,0.29,414.2857143
01-04-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SAMALKHA PANIPAT Haryana,Maldives,8.52,15.68,184.0375587
01-04-2026,Natural Honey,4090000,Natural Honey,Haryana,ICD SAMALKHA PANIPAT Haryana,Kazakhstan,45.6,59.05,129.495614
01-04-2026,Natural Honey,4090000,Natural Honey,Delhi,DELHI AIRPORT,United States,0.036,5.44,15111.11111
01-04-2026,Natural Honey,4090000,Natural Honey,Maharashtra,NHAVA SHEVA SEA,Malaysia,0.1,0.32,320
01-04-2026,Natural Honey,4090000,Natural Honey,Delhi,DELHI AIRPORT,Vietnam,0.001,0.02,2000
01-04-2026,Natural Honey,4090000,Natural Honey,Maharashtra,NHAVA SHEVA SEA,Nigeria,0.285,0.62,217.5438596
01-04-2026,Natural Honey,4090000,Natural Honey,Maharashtra,NHAVA SHEVA SEA,Singapore,0.004,0.02,500
01-04-2026,Natural Honey,4090000,Natural Honey,Maharashtra,NHAVA SHEVA SEA,Tanzania,0.235,0.91,387.2340426
01-04-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD LUDHIANA,United States,200.952,274.88,136.7888849
01-04-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD LUDHIANA,Portugal,52.8,76.51,144.905303
01-04-2026,Natural Honey,4090000,Natural Honey,Sikkim,CHAMURCHI ROAD/ RAILWAY,Bhutan,0.086,0.16,186.0465116
01-04-2026,Natural Honey,4090000,Natural Honey,Maharashtra,NHAVA SHEVA SEA,United Arab Emirates,1.38,5.13,371.7391304
01-04-2026,Natural Honey,4090000,Natural Honey,Maharashtra,NHAVA SHEVA SEA,United States,0.586,6.21,1059.726962
01-04-2026,Natural Honey,4090000,Natural Honey,Tamil Nadu,CHENNAI SEA,Sri Lanka,13.353,30.79,230.5848873
01-04-2026,Natural Honey,4090000,Natural Honey,West Bengal,PETRAPOLE LAND ROAD/ RAILWAY,Bangladesh,97.92,135.29,138.1638072
01-04-2026,Natural Honey,4090000,Natural Honey,Punjab,ICD CHOWPAYAL Punjab,Saudi Arabia,25.2,46.5,184.5238095
01-03-2026,Natural Honey,4090000,Natural Honey,Delhi,DELHI (ICD),Hong Kong (HK),0.225,0.82,364.4444444
01-03-2026,Natural Honey,4090000,Natural Honey,Delhi,DELHI (ICD),Israel,7,13.2,188.5714286
01-03-2026,Natural Honey,4090000,Natural Honey,Delhi,DELHI (ICD),Mauritius,2.39,8.67,362.7615063
01-03-2026,Natural Honey,4090000,Natural Honey,Delhi,DELHI (ICD),Philippines,0.226,0.49,216.8141593
01-03-2026,Natural Honey,4090000,Natural Honey,Delhi,DELHI (ICD),Singapore,0.114,0.4,350.877193
01-03-2026,Natural Honey,4090000,Natural Honey,Delhi,DELHI (ICD),South Africa,0.084,0.47,559.5238095
01-03-2026,Natural Honey,4090000,Natural Honey,Delhi,DELHI (ICD),United Arab Emirates,3.865,14.62,378.2664942
01-03-2026,Natural Honey,4090000,Natural Honey,Delhi,DELHI (ICD),United States,1.798,8.3,461.6240267
